id	name_eng	titolo_eng	name_ita	desc_ita
131	Frequency response	Characteristics of an amplifier showing the relative response to the activities of different frequencies with respect to the response of 10 Hz activity. The bandwidth of EEG channels is determined by the low and high frequency filters and the particular frequency response characteristics of the recording system.	Risposta in frequenza	Caratteristica di un amplificatore che mostra la risposta relativa alle attività di frequenze diverse rispetto alla risposta dell'attività a 10 Hz. La larghezza di banda dei canali EEG è determinata dai filtri a bassa e alta frequenza e dalle particolari caratteristiche di risposta in frequenza del sistema di registrazione.
132	Frequency response curve	A graph depicting the relationships between output trace detection or amplifier output and input frequency, for a particular setting of low and high frequency filters.	Curva di risposta in frequenza	Un grafico che rappresenta le relazioni tra la rilevazione della traccia di uscita o l'uscita dell'amplificatore e la frequenza di ingresso, per una particolare impostazione dei filtri a bassa e alta frequenza.
133	Frequency spectrum	The distribution of amplitude and phases of different frequency components against frequency. This is typically demonstrated by a Fourier transform of the EEG. Comment: In most applications the amplitude spectrum is presented only (for example in delta, theta, alpha, beta, gamma bands), and not phase information. (See power spectrum, quantitative EEG).	Spettro di frequenza	La distribuzione dell'ampiezza e delle fasi delle diverse componenti di frequenza del segnale. Questo è il risultato dell'applicazione della trasformata di Fourier al segnale EEG. Commento: nella maggior parte delle applicazioni viene presentato solo lo spettro di ampiezza (per esempio delle bande delta, theta, alfa, beta e gamma), e non le informazioni riguardo la fase. (Vedi spettro di potenza, EEG quantitativo).
134	Frontal intermittent rhythmic delta activity (FIRDA)	Fairly regular, approximately sinusoidal or sawtooth waves, mostly occurring in bursts at 1.5–2.5 Hz synchronously over the frontal areas of both sides of the head (occasionally unilateral). Comment: most commonly associated with mild to moderate unspecified encephalopathy in responsive ambulant patients, often in association with cerebrovascular disease. Synonym: occasional frontally predominant brief 2/s GRDA.	Attività delta ritmica intermittente frontale (FIRDA, frontal intermittent rhythmic delta activity)	Onde abbastanza regolari, approssimativamente sinusoidali o a dente di sega, che si verificano per lo più in burst a 1,5-2,5 Hz in modo sincrono sulle aree frontali di entrambi i lati del capo (occasionalmente unilaterali). Commento: pattern comunemente associato con encefalopatia aspecifica di entità lieve-moderata in pazienti deambulanti e reattivi, spesso in associazione con patologia cerebrovascolare. Sinonimo: breve ed occasionale attività delta ritmica diffusa a 2 Hz, a predominanza frontale (GRDA, generalized rhythmic delta activity).
135	Fronto-central theta	A normal variant. Theta rhythm located in the midline, just anterior to the vertex, that occurs during psychological stress and cognitive tasks, particularly problem solving. It appears predominantly in young healthy adults (<30 years of age). The pattern is considered to be a normal response to cognitive tasks. Synonyms: frontal midline theta, Ciganek rhythm.	Theta fronto-centrale	Una variante normale. Ritmo theta localizzato sulla linea mediana, appena anteriormente al vertice, che si osserva durante lo stress psicologico e i tasks cognitivi, in particolare durante il problem solving. Compare prevalentemente nei giovani adulti sani (<30 anni). Il pattern è considerato una risposta normale ai tasks cognitivi. Sinonimi: theta frontale della linea mediana, ritmo di Cigánek.
136	Gain, voltage	"The ratio of output signal voltage, Vo, to input signal voltage, Vi, of an EEG channel. For example: Voltagegain=Vo/Vi=10V/10μV=1,000,000
The voltage gain (G) is often expressed in decibels (dB), a logarithmic ratio, defined as G=20log10(Vo/Vi)dB
Examples: a voltage gain of 10 corresponds to G = 20 dB, of 1,000 to G = 60 dB, of 1,000,000 to G = 120 dB. Gain controls are used to attenuate and equalize the sensitivities of all channels (see sensitivity)."	Guadagno, voltaggio	"Il rapporto tra il voltaggio del segnale in uscita, (Vo) e il voltaggio del segnale di ingresso (Vi) di un canale EEG. Per esempio: Voltagegain=Vo/Vi=10V/10μV=1.000.000
Il guadagno di voltaggio (G) è spesso espresso in decibel (dB), un rapporto logaritmico, definito come G=20log10(Vo/Vi)dB
Esempi: un guadagno di voltaggio di 10 corrisponde a G = 20 dB, di 1.000 a G = 60 dB, di 1.000.000 a G = 120 dB. I controlli di guadagno sono utilizzati per attenuare ed equalizzare le sensibilità di tutti i canali (vedi sensibilità).
"
137	Gamma band	Frequency band from >30 to 80 Hz. Greek letter: γ. Comment: The graphic resolution of computer displays may limit the visual appreciation of higher frequencies. However, this does not justify limiting unduly the high frequency response of the EEG channels; for EEG waves include transients such as spikes and sharp waves with components at frequencies above 50 Hz.	Banda gamma	Banda di frequenza da >30 a 80 Hz. Lettera greca: γ. Commento: La risoluzione grafica dei display dei computer può limitare la visualizzazione delle frequenze più alte. Tuttavia, questo non giustifica il taglio delle risposte ad alta frequenza dei canali EEG; infatti, le onde EEG comprendono transienti come punte e onde puntute con componenti a frequenze superiori a 50 Hz.
138	Gamma rhythm or activity	An EEG rhythm above >30–80 Hz (wave duration 12.5–33 ms). Comment: most commonly recorded with intracranial electrodes from actively engaged or driven neural networks.	Ritmo o attività gamma	Un ritmo EEG superiore a >30-80 Hz (durata dell'onda 12,5-33 ms). Commento: più comunemente registrato con elettrodi intracranici inseriti in circuiti neuronali primariamente attivati oppure coinvolti secondariamente.
139	Generalization	Bilateral propagation of EEG activity from limited areas to all regions of the head (see generalized).	Generalizzazione	Propagazione bilaterale dell'attività EEG, da aree limitate a tutte le regioni del capo (vedi generalizzato).
140	Generalized	Loosely: an EEG activity spread over all regions of the head, usually with a frontal, but rarely with an occipital, maximum (see diffuse). Strictly: bilateral EEG discharges appearing reasonably symmetrically and synchronously over homologous regions of the head (see symmetric and synchronous). For example generalized epileptic seizures are conceptualized as originating at some point within, and rapidly engaging (i.e. synchronizing), bilaterally distributed networks. Comment: “generalized” is still used as a term for describing seizure types and epilepsy syndromes, although no seizure pattern involves the whole brain simultaneously (see secondary bilateral synchrony).	Generalizzato	In senso generale: un'attività EEG diffusa su tutte le regioni dello scalpo, di solito con una prevalenza frontale, o più raramente occipitale (vedi diffuso). Più specificamente: scariche EEG bilaterali che appaiono sufficientemente simmetriche e sincrone su regioni omologhe del capo (vedi simmetrico e sincrono). Per esempio, le crisi epilettiche generalizzate sono concettualmente ad esordio in qualche punto all'interno di networks a distribuzione bilaterale, che vengono rapidamente coinvolti (cioè sincronizzati). Commento: “generalizzato” è ancora usato come termine per descrivere tipi di crisi e sindromi epilettiche, anche se nessun modello di crisi coinvolge l'intero cervello simultaneamente (vedi: sincronia bilaterale secondaria).
141	Generalized paroxysmal fast activity (GPFA)	Bilateral synchronous bursts of spikes of 2–10 s duration, with frequency between 10 and 25 Hz (typically around 10 Hz) and maximum in the frontal regions that only occurs during sleep. GPFA is considered a feature of Lennox-Gastaut syndrome. Comment: when the bursts are longer than 5 s a tonic seizure is often recorded (this may be discrete, and only detected with surface EMG electrodes). Synonyms: bursts of fast rhythms, fast paroxysmal rhythms, runs of rapid spikes (use of terms discouraged).	Attività parossistica rapida generalizzata (GPFA, generalized paroxysmal fast activity)	Burst bilaterali e sincrone (di 2-10 s di durata) di punte con frequenza compresa tra 10 e 25 Hz (tipicamente intorno a 10 Hz), con prevalenza nelle regioni frontali, che si verificano soltanto durante il sonno. La GPFA è considerata una caratteristica tipica della sindrome di Lennox-Gastaut. Commento: quando le bursts durano più di 5 s si accompagnano spesso ad una crisi tonica (che può essere di modesta espressività clinica e rilevata solo con elettrodi EMG di superficie). Sinonimi: bursts di ritmi rapidi, ritmi rapidi parossistici, treni di punte rapide (l'uso di termini è scoraggiato).
